Brand	Phone Name	Official/Unofficial	Storage	Variant	Price	Stock-Out
Google	Pixel 6	Official	8/128		34999	
Google	Pixel 7	Official	8/128		42499	
Google	Pixel 7 Pro	Official	12/128		49999	
Google	Pixel 7 Pro	Official	12/256		54499	
Google	Pixel 8A	Official	8/128		47999	
Google	Pixel 8	Official	8/128		57499	
Google	Pixel 8 Pro	Official	12/128		68999	
Google	Pixel 8 Pro	Official	12/256		101999	
Google	Pixel 9	Official	12/128		73999	
Google	Pixel 9	Official	12/256		90999	
Google	Pixel 9 Pro	Official	16/128		93999	
Google	Pixel 9 Pro	Official	16/256		117999	
Google	Pixel 9 Pro	Official	16/512		119999	
Google	Pixel 9 Pro XL	Official	16/128		103999	
Google	Pixel 9 Pro XL	Official	16/256		112499	
Google	Pixel 9 Pro XL	Official	16/512		121999	
Google	Pixel 9 Pro Fold	Official	16/256		134999	
Google	Pixel 9 Pro Fold	Official	16/512		229999	
Apple	iPhone 13	Official	128GB	Global	65999	
Apple	iPhone 14	Official	128GB	USA	71999	
Apple	iPhone 14	Official	256GB	Global	99999	
Apple	iPhone 14 Plus	Official	128GB	USA	82999	
Apple	iPhone 14 Plus	Official	128GB	Global	88999	
Apple	iPhone 15	Official	128GB	USA	81999	
Apple	iPhone 15	Official	256GB	USA	93499	
Apple	iPhone 15 Plus	Official	128GB	USA	91499	
Apple	iPhone 15 Plus	Official	256GB	USA	108999	
Apple	iPhone 15 Pro	Official	128GB	USA	117999	
Apple	iPhone 15 Pro	Official	256GB	USA	131999	
Apple	iPhone 15 Pro Max	Official	256GB	USA	130999	
Apple	iPhone 15 Pro Max	Official	512GB	Global	159999	
Apple	iPhone 15 Pro Max	Official	1TB	Global	196999	
Apple	iPhone 16	Official	128GB	USA	90999	
Apple	iPhone 16	Official	256GB	USA	109999	
Apple	iPhone 16e	Official	128GB	Global	84499	
Apple	iPhone 16 Plus	Official	128GB	USA	104499	
Apple	iPhone 16 Plus	Official	128GB	Global	113999	
Apple	iPhone 16 Pro	Official	128GB	USA	122999	
Apple	iPhone 16 Pro	Official	256GB	USA	135999	
Apple	iPhone 16 Pro Max	Official	256GB	USA	142499	
Apple	iPhone 16 Pro Max	Official	512GB	Global	180999	
Apple	iPhone 16 Pro Max	Official	1TB	Global	204999	
Apple	iPad 9th Gen WiFi	Official	64GB		34499	
Apple	iPad 9th Gen WiFi	Official	256GB		49999	
Apple	iPad 10th Gen WiFi	Official	64GB		39499	
Apple	iPad 10th Gen WiFi + Cell	Official	64GB		49499	
Apple	iPad 10th Gen WiFi	Official	256GB		55999	
Apple	iPad 11th Gen WiFi	Official	128GB		45499	
Apple	iPad 11th Gen WiFi	Official	256GB		61999	
Apple	iPad Mini 6 64GB WiFi ------------------------	Official			47499	
Apple	iPad Mini 7 128GB WiFi -----------------------	Official			56999	
Apple	iPad Mini 7 256GB WiFi -----------------------	Official			79499	
Apple	iPad Air 5 M1 64GB WiFi --------------------------	Official			62999	
Apple	iPad Air 5 M1 256GB WiFi -------------------------	Official			72999	
Apple	"iPad Air M2 11"" 128GB"	Official	2024		69999	
Apple	"iPad Air M2 11"" 128GB (WiFi + Cell)"	Official	2024		92999	
Apple	"iPad Air M2 11"" 256GB"	Official	2024		81999	
Apple	"iPad Air M2 13"" 128GB"	Official	2024		104999	
Apple	"iPad Air M2 13"" 256GB"	Official	2024		124999	
Apple	"iPad Air M3 11"" 128GB"	Official	2025		75499	
Apple	"iPad Air M3 11"" 256GB"	Official	2025		89999	
Apple	"iPad Air M3 13"" 128GB"	Official	2025		104999	
Apple	"iPad Air M3 13"" 256GB"	Official	2025		129499	
Apple	"iPad Pro 11"" M2 128GB WiFi -------------"	Official			98999	
Apple	"iPad Pro 11"" M2 256GB WiFi -------------"	Official			111999	
Apple	"iPad Pro 12.9"" M2 128GB WiFi ---------------"	Official			131999	
Apple	"iPad Pro 12.9"" M2 128GB Cell ----------------"	Official			149999	
Apple	"iPad Pro 12.9"" M2 256GB WiFi ---------------"	Official			141999	
Apple	"iPad Pro 12.9"" M2 256GB Cell ----------------"	Official			144999	
Apple	"iPad Pro 12.9"" M2"	Official	512GB		164999	
Apple	"iPad Pro 11""  M4"	Official	256GB		117999	
